ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001001130.3,0,0,0,0,0,0
NM_001001144.3,0,0,0,0,0,0
NM_001001152.2,0,0,0,0,0,0
NM_001001160.3,0,0,0,0,0,0
NM_001001176.2,0,0,0,0,0,0
NM_001001177.2,0,0,0,0,0,0
NM_001001178.2,0,0,0,0,0,0
NM_001001179.3,1,0,0,0,0,2
NM_001001180.2,6.351,3.79,3.247,6.985,4.038,2.79
NM_001001181.4,0,0,0,0,0,0
NM_001001182.3,0,15.784,0,47.124,0,0
NM_001001183.1,0,0,0,0,0,0
NM_001001184.2,0,0,0,0,0,0
NM_001001185.3,0,0,0,0,1,0
NM_001001186.4,2.06,2.033,0,4.077,0,2
NM_001001187.3,1,4.992,6.972,1,5.109,4
NM_001001295.2,0,0,0,0,0,0
NM_001001297.2,35.779,47.611,35.779,53.494,0,29.778
NM_001001309.4,0,0,0,0,0,0
NM_001001319.4,0,0,0,0,0,0
NM_001001320.1,0,0,0,0,0,0
NM_001001321.3,0,0,0,0,0,0
NM_001001322.2,0,0,0,0,0,0
NM_001001326.1,0,0,0,0,0,0
NM_001001327.2,141,0,0,124.903,154,0
NM_001001332.2,0,0,0,0,0,0
NM_001001333.2,0,0,2.257,0,20.463,6.029
NM_001001334.3,0,0,0,0,0,0
NM_001001335.2,56,61,50,86,73,53
NM_001001444.2,0,0,0,0,0,0
NM_001001445.2,0,0,0,0,0,0
NM_001001446.3,1,0,0,0,1,1
NM_001001447.3,0,0,0,0,0,0
NM_001001449.3,0,0,0,0,0,0
NM_001001450.4,0,0,0,0,0,0
NM_001001451.1,0,0,0,0,0,0
NM_001001452.1,0,0,0,0,0,0
NM_001001453.1,0,0,0,0,0,0
NM_001001454.4,3.199,0,0,0,0,0
NM_001001488.3,4,10,12,19,17,10
NM_001001489.3,0,0,0,0,0,0
NM_001001490.3,0,0,0,0,0,0
NM_001001491.2,239,337,1118,1007,414,949
NM_001001492.3,0,0,0,0,0,0
NM_001001493.2,261.498,250.999,271.955,237.999,193.815,149
NM_001001495.2,25,47,76,37,21,15
NM_001001496.2,0,0,0,1,0,0
NM_001001559.2,0,0,0,0,0,0
NM_001001565.2,0,0,0,0,0,0
NM_001001566.3,190,195,149,75,175,89
NM_001001602.2,181.936,171.883,135.103,153.487,165.455,129
NM_001001650.2,0,0,0,0,0,0
NM_001001714.2,0,0,0,0,0,0
NM_001001735.2,0,0,0,0,0,0
NM_001001737.3,2.723,1.129,0,0,1.207,1.179
NM_001001738.4,63,103,80,56,59,22
NM_001001792.3,0,0,0,0,0,0
NM_001001796.4,0,0,0,0,0,0
NM_001001798.3,1,2,3.294,7,3,1
NM_001001803.4,0,0,0,0,0,0
NM_001001804.2,0,0,0,0,0,0
NM_001001805.2,0,0,0,0,0,0
NM_001001806.2,297,516,637,464,515,448
NM_001001807.2,0,0,0,0,0,0
NM_001001808.2,0,0,0,0,0,0
NM_001001809.2,0,0,0,0,0,0
NM_001001810.2,0,0,0,0,0,0
NM_001001880.2,1.544,0,0,1.552,0,0
NM_001001881.2,1,1,0,1,0,1
NM_001001882.3,0,0,0,0,0,0
NM_001001883.3,0,0,0,0,0,0
NM_001001884.2,0,0,0,0,0,0
NM_001001885.2,21,40,18,34,42,16
NM_001001892.3,0,0,0,0,29.434,0
NM_001001932.3,168,203,169,191,233,174
NM_001001979.2,1,0,0,0,0,2
NM_001001980.3,0,0,0,0,0,0
NM_001001981.4,0,0,0,0,0,0
NM_001001982.3,91,114,90,132,113,55
NM_001001983.3,15.69,0,0,0,24.086,6.214
NM_001001984.2,335.382,360,182.133,385,397.707,214
NM_001001985.3,0,0,0,0,0,0
NM_001001986.3,0,0,0,0,0,0
NM_001001999.1,0,0,0,0,0,0
NM_001002004.2,775,831,524,670,582,489
NM_001002005.2,0,0,0,0,0,0
NM_001002008.2,11.662,27.174,35.769,22.503,21.186,18.354
NM_001002011.3,370.462,480.164,421.584,338.691,418.71,228.492
NM_001002012.2,0,0,0,0,0,0
NM_001002238.2,0,0,0,0,0,0
NM_001002239.4,649.158,406.539,520.839,484.404,725.934,229.055
NM_001002240.2,0,0,0,0,0,0
NM_001002241.2,0,0,0,0,0,0
NM_001002267.2,311,287,214,387,298,249
NM_001002268.3,0,0,0,0,0,0
NM_001002272.3,0,0,0,0,0,0
NM_001002764.2,54.765,50.44,46.555,76.059,63.069,25.808
NM_001002787.2,0,0,0,0,0,0
NM_001002791.2,0,0,0,0,0,0
NM_001002842.2,0,0,0,0,0,0
NM_001002846.2,49.528,28.082,50.021,17.979,48.877,30.006
NM_001002894.2,0,0,0,0,0,0
NM_001002895.3,10.003,10.228,20.916,5.924,5.922,3.77
NM_001002896.3,0,0,0,0,0,0
