name,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Gm26206,0,0,0,0,0,0,0
Xkr4,4,3,9,3,3,7,10
Gm53491,1,1,4,0,0,0,0
Gm57489,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0
Sox17,0,2,0,0,0,0,0
Gm22307,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0
Gm39586,0,0,0,0,0,0,0
Gm46082,0,0,0,0,0,0,0
Gm29874,0,0,0,0,0,0,0
Gm7369,0,0,1,0,0,0,0
Mrpl15,216,135,207,251,147,351,261
Lypla1,146,75,151,116,47,209,131
Gm57794,0,0,0,0,0,0,0
Tcea1,126,172,177,189,99,200,145
Rgs20,0,2,4,0,3,4,4
Gm16041,0,0,0,0,0,0,0
Atp6v1h,194,114,238,193,101,356,200
Oprk1,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0
Gm46206,0,4,6,2,0,7,2
4732440D04Rik,2,4,2,3,1,4,2
Rb1cc1,128,74,189,133,87,190,135
Alkal1,0,0,0,0,0,0,0
St18,0,1,0,0,0,0,0
Gm37108,6,9,16,16,6,14,11
Pcmtd1,117,60,107,57,58,105,61
Gm26983,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0
Gm26901,6,0,5,0,0,2,4
Gm39589,0,0,0,0,0,0,0
Sntg1,37,8,38,14,16,30,20
Gm6152,0,0,0,1,0,0,0
Gm7445,0,0,0,0,0,0,0
Gm7493,1,2,1,0,0,0,0
Gm6187,0,0,0,0,0,0,0
Gm30719,0,1,0,0,2,0,0
Gm24765,0,0,0,0,0,0,0
Rrs1,129,96,131,131,61,206,140
Adhfe1,71,24,105,39,21,85,21
2610203C22Rik,2,2,0,1,4,5,1
Vxn,6,0,3,1,1,6,2
Mybl1,8,9,9,3,4,7,5
Vcpip1,40,36,94,50,38,82,59
1700034P13Rik,1,0,0,0,0,0,1
Gm39590,1,0,1,0,1,0,1
Gm51615,1,1,2,1,0,3,1
Sgk3,42,23,27,30,11,53,28
Gm6195,0,1,2,0,0,1,1
Mcmdc2,3,3,2,1,2,4,1
Snhg6,144,115,289,226,154,323,193
Snord87,1,0,0,0,3,0,1
Tcf24,20,8,15,7,4,14,8
Ppp1r42,0,0,0,1,0,1,0
Gm24674,0,0,0,0,0,0,0
Cops5,366,235,434,381,202,582,464
Cspp1,49,44,48,57,29,52,29
Arfgef1,130,102,190,128,81,219,140
Cpa6,2,0,0,0,0,0,0
Gm25253,0,0,0,0,0,0,0
Gm15603,0,0,0,0,0,0,0
Gm28659,0,0,1,0,0,0,0
Prex2,282,34,318,411,831,992,125
Gm24173,0,0,0,0,0,0,0
A830018L16Rik,0,0,0,0,0,0,0
Gm30898,0,0,0,0,0,0,0
Gm30974,0,0,0,0,0,0,0
Gm22633,0,0,0,0,0,0,0
Gm39591,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0
Sulf1,827,892,1023,943,491,1349,1048
Slco5a1,11,15,22,26,19,39,28
Gm39592,0,0,0,0,0,0,0
Prdm14,0,1,0,0,0,2,0
Ncoa2,54,32,76,45,30,69,52
Gm23169,0,0,0,0,0,0,0
Gm51852,0,0,0,0,0,0,0
Gm39595,0,1,0,0,0,0,0
Gm39600,0,0,0,0,0,0,0
Tram1,459,469,833,734,333,1003,653
Lactb2,49,26,51,34,22,56,43
Xkr9,0,0,1,0,0,0,0
Gm26273,0,0,0,0,0,0,0
Gm5523,1,7,2,3,3,9,3
Gm31195,0,0,0,0,0,0,0
Gm39596,0,0,0,0,0,0,0
Eya1,0,0,0,0,0,0,0
Msc,13,17,46,4,4,15,9
Gm9947,4,2,7,1,1,4,0
Gm33500,0,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0,0
Gm26345,0,0,0,0,0,0,0
Gm5048,0,1,0,0,0,0,0
Kcnb2,0,4,0,1,2,0,3
Gm51616,0,0,0,0,0,0,0
Gm51617,0,0,0,0,0,0,0
Gm25227,0,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0,0
Terf1,67,33,69,68,28,101,86
Sbspon,7,11,8,29,4,28,26
Gm31523,0,0,0,0,0,0,0
4930444P10Rik,0,1,0,0,0,1,0
Rpl7,1871,1079,2230,1934,1216,3270,2229
Rdh10,489,343,635,265,178,705,334
Stau2,69,29,72,36,26,67,65
Gm7568,0,0,0,0,0,0,0
C130013N14Rik,1,1,0,1,3,0,1
Ube2w,19,12,57,15,13,31,28
Eloc,170,113,232,137,93,227,138
D030040B21Rik,1,0,0,1,0,1,0
Tmem70,114,116,224,216,100,345,214
Ly96,2,3,21,3,6,10,3
Gm53492,0,0,0,0,0,0,0
Jph1,11,12,16,15,14,25,13
Gm46085,0,0,0,0,0,0,0
Gm31982,0,0,0,0,0,0,0
Gdap1,0,0,1,0,1,0,0
Gm28784,0,0,0,0,0,0,0
Gm39597,0,0,0,0,0,0,0
Gm25166,0,0,0,0,0,0,0
Pi15,35,21,57,19,5,34,17
Gm28154,0,1,0,0,0,0,0
Gm16070,0,0,0,0,0,0,0
Crispld1,6,0,8,3,1,1,1
Crisp4,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0
Tfap2b,2,0,0,3,1,2,2
LOC118567642,0,0,0,0,0,0,0
Gm32651,0,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0
Gm15795,0,1,0,0,0,1,0
Gm24162,0,0,0,0,0,0,0
Lincmd1,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0
Il17f,0,0,0,1,0,0,0
Mcm3,96,121,118,152,50,187,160
Gm24723,0,0,0,0,0,0,0
6720483E21Rik,0,1,0,1,0,0,1
Paqr8,21,13,33,16,4,21,11
Gm24171,0,0,0,0,0,0,0
Gm51618,5,6,4,0,0,2,1
Efhc1,15,13,24,7,7,14,8
Tram2,17,16,19,17,8,14,11
Tmem14a,34,12,37,14,5,32,19
Gm32947,0,0,0,0,0,0,0
Gm28836,0,0,1,0,0,0,0
Gsta3,34,5,30,17,5,13,5
Gm7094,0,0,0,0,1,0,0
Gm4956,1,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0
Gm33147,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0
Kcnq5,0,0,1,0,1,0,1
Gm53539,0,0,0,0,0,0,1
Rims1,0,0,0,0,0,1,0
Gm7759,0,0,0,0,0,0,0
Gm7761,0,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0,0
Gm30442,0,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0,0
Gm53541,52,31,60,20,29,52,34
Mir30a,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0
Ogfrl1,178,143,442,86,56,167,114
Gm19673,0,0,0,0,0,0,0
Gm28822,0,0,0,0,0,0,0
B3gat2,0,1,0,2,0,2,1
Smap1,781,695,975,766,468,1234,848
Gm53062,0,0,0,1,0,0,0
Sdhaf4,89,35,102,45,46,112,65
Fam135a,26,19,45,46,15,59,34
Gm30756,0,0,0,0,0,1,0
Col9a1,0,0,0,0,0,0,0
Col19a1,0,0,0,0,1,0,0
Gm26418,0,0,0,0,0,0,0
Lmbrd1,240,103,275,138,94,223,130
Gm9443,0,0,0,0,0,0,0
Gm29414,0,0,0,0,0,0,0
Adgrb3,1,0,1,0,0,0,0
Gm20172,0,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0,0
Gm39614,0,0,0,0,0,0,0
Gm31076,0,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0,0
Gm31136,0,0,0,0,0,0,0
Spata31e2,0,0,0,0,0,0,0
n-R5s209,0,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0,0
Gm7846,0,0,0,0,1,0,0
Spata31e5,0,0,0,0,0,0,0
Gm45942,0,0,0,0,0,0,0
Gm6462,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0
Gm31465,0,0,0,0,0,0,0
Gm31525,0,0,0,0,0,0,0
Gm39615,0,0,0,0,0,0,0
Gm31581,0,0,0,0,0,0,0
Gm46086,0,0,0,0,0,0,0
Gm9898,0,0,0,0,0,0,0
Gm57566,0,0,0,0,0,0,0
Gm2914,0,0,0,0,0,0,0
Phf3,130,116,173,124,108,197,140
Ptp4a1,35,39,119,52,47,162,48
Gm53209,0,1,0,0,1,0,0
Gm9458,0,0,0,0,0,0,0
Gm29669,0,0,0,0,0,0,0
Gm28644,0,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0,0
Dnaaf6rt,0,0,0,0,0,0,0
Gm26145,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0
Gm57572,0,0,0,0,0,0,0
Gm23032,0,0,0,0,0,0,0
Gm51754,0,0,0,0,0,0,0
Khdrbs2,0,0,1,0,0,0,0
Gm25814,0,0,0,0,0,0,0
Gm46077,0,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0,0
Semp2l1,0,0,0,0,0,0,0
Gm24732,0,0,0,0,0,0,0
Gm39616,0,0,0,0,0,0,0
Gm24901,0,0,0,0,0,0,0
Gm39617,0,0,0,0,0,0,0
Gm25792,0,0,0,0,0,0,0
Gm23453,0,0,0,0,0,0,0
Prim2,77,61,105,80,32,131,91
Gm29228,2,0,0,0,0,2,0
1700001G17Rik,1,1,0,1,0,0,1
Gm32229,0,0,2,1,0,0,2
Rab23,86,64,122,56,45,107,71
Bag2,94,64,76,64,31,132,84
Zfp451,52,27,80,65,26,103,79
Gm15455,1,3,2,2,1,4,2
Bend6,60,39,40,22,25,57,38
Gm38471,2,1,0,1,1,1,2
Dst,764,554,692,483,485,785,619
Gm53546,1,1,0,2,0,4,0
Gm23792,0,0,0,0,0,0,0
Mir6896,0,0,0,0,0,0,0
Gm51742,9,3,8,3,2,8,7
Gm26788,1,0,0,0,0,0,0
Gm3052,18,6,15,16,9,19,14
Gm37233,13,15,17,26,10,12,23
Mir5103,0,0,0,0,0,0,0
n-TEttc1,0,0,0,0,0,0,0
Ccdc115,60,50,72,63,37,97,60
Imp4,166,150,181,192,101,287,231
Gm32504,0,0,0,0,0,0,0
