name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Igha,383.3,884.2,7.7,0.009,-6.9,0.37,-18.35,3.1e-75,7.3e-71,0,0,1157.9,963.2,531.4,5.2,9.4,7,9.3
Calca,695.7,152.1,1103.4,7.273,2.9,0.24,12.14,6.8e-34,1.6e-29,0,0,196.7,161.6,98,1043.3,1285.8,1166.9,917.7
Itih5,908.7,1549.1,428.4,0.277,-1.9,0.19,-9.99,1.7e-23,3.9e-19,0,0,1666.6,1305.5,1675.1,361.4,428.1,532,392.1
Car9,136.2,23.1,220.9,9.898,3.3,0.34,9.78,1.4e-22,3.4e-18,0,0,26.8,34.4,8.1,245.1,189.7,200.6,248.4
Dusp4,235.3,96.5,339.4,3.537,1.8,0.19,9.48,2.5e-21,5.9e-17,0,0,83.1,113.2,93.2,340.4,337.1,300.2,380
Cadm4,946.5,338.3,1402.6,4.155,2.1,0.22,9.16,5.0e-20,1.2e-15,0,0,325.9,427.5,261.6,1425.7,1426.9,1030.9,1726.9
Slc38a4,66.4,10.8,108.1,10.423,3.4,0.37,9.09,9.6e-20,2.3e-15,0,0,10.2,14,8.1,94.3,80,143.1,114.9
Ttc9,216,75.1,321.6,4.304,2.1,0.26,8.05,8.4e-16,2.0e-11,0,0,101.6,77.6,46.2,264,310.5,340.4,371.7
Gsn,5241.9,9360.5,2153,0.23,-2.1,0.27,-7.95,1.9e-15,4.5e-11,0,0,9092.2,5332.6,13656.8,2004.9,2338,2414.3,1854.8
Svep1,2011,3494.2,898.5,0.257,-2,0.25,-7.95,1.9e-15,4.5e-11,0,0,4159.7,2884.5,3438.5,622.2,947.1,1283.1,741.5
Mgll,485.1,184.3,710.7,3.882,2,0.25,7.87,3.6e-15,8.5e-11,0,0,167.1,263.4,122.3,700.8,663.3,622.1,856.5
Cygb,3242.4,4567.6,2248.6,0.492,-1,0.13,-7.71,1.3e-14,3.1e-10,0,0,5047,4246,4409.7,2279.4,2162.4,2427,2125.4
Egln3,399.8,106.8,619.4,5.839,2.5,0.33,7.7,1.4e-14,3.3e-10,0,0,122.8,154,43.7,615.9,644.5,465.6,751.7
Rbfox1,52.7,12.9,82.4,6.488,2.7,0.36,7.44,9.9e-14,2.3e-09,0,0,16.6,14,8.1,61.8,83.1,81.1,103.8
Rasgef1b,44.7,9.8,70.9,7.412,2.9,0.39,7.43,1.1e-13,2.7e-09,0,0,7.4,14,8.1,59.7,83.1,57.5,83.4
Hilpda,367.7,168.1,517.4,3.096,1.6,0.22,7.41,1.2e-13,2.9e-09,0,0,171.7,193.4,139.3,428.4,445.3,683.4,512.6
Pi16,2576.2,3936.7,1555.7,0.395,-1.3,0.18,-7.39,1.5e-13,3.6e-09,0,0,3854,3310.8,4645.4,1394.2,1390.9,1904.6,1533.1
