"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Mrpl15",24.0930462875565,30.0654568461954,41.7896381473769,26.7449452745847,46.0076655093981,39.2785131430013
"Lypla1",5.25666464455778,11.5144302815216,11.8192915972379,10.6979781098339,8.21565455524965,17.2442252822933
"Tcea1",45.5577602528341,47.9767928396735,66.2724564559411,60.0275438385123,64.0821055309473,60.3547884880265
"Atp6v1h",28.9116555450678,26.8670039902172,33.3472870064926,19.6129598680288,30.3979218544237,31.6144130175377
"Rb1cc1",16.2080493207198,18.5510265646738,15.1962320535916,24.9619489229457,27.1116600323239,25.8663379234399
"Gm37108",250.129626003541,272.508183329346,246.516653313819,317.373350591739,237.432416646715,170.526227791567
"Pcmtd1",47.7480371880665,33.2639097021737,43.9002259325979,52.3012263147434,47.650796420448,46.942613268465
"Gm7493",9.19916312797612,19.8304077070651,21.5279954092547,10.6979781098339,13.1450472883994,10.5381376725126
"Rrs1",2.62833232227889,22.3891699918477,29.970346550139,23.7732846885197,25.4685291212739,17.2442252822933
"Vcpip1",3.94249848341834,4.47783399836953,8.44235114088421,6.53765328934293,12.3234818328745,7.66410012546368
"Snhg6",31.1019324803002,31.9845285597824,27.8597587649179,20.2072919852418,23.825398210224,19.1602503136592
"Cops5",19.7124924170917,41.5798871277171,54.8752824157474,44.5749087909745,46.829230964923,49.8166508155139
"Cspp1",21.4647139652776,19.1907171358694,12.2414091542821,21.9902883368808,9.85878546629958,22.992300376391
"Arfgef1",17.5222154818593,17.2716454222825,22.3722305233432,21.3959562196678,13.9666127439244,14.3701877352444
"Prex2",21.9027693523241,33.9036002733693,42.6338732614653,49.9238978458915,34.5057491320485,30.6564005018547
"Sulf1",10.951384676162,24.9479322766302,20.6837602951663,23.1789525713067,28.7547909433738,19.1602503136592
"Ncoa2",3.50444309637185,5.75721514076082,7.17599846975158,5.34898905491694,8.21565455524965,7.66410012546368
"Tram1",52.5666464455778,30.7051474173911,36.7242274628463,29.7166058606497,41.8998382317732,32.5724255332206
"Lactb2",10.0752739020691,14.0731925663042,17.7289373958569,14.2639708131118,9.03722001077462,17.2442252822933
"Gm5523",23.65499090051,19.8304077070651,10.5529389261053,12.4809744614729,9.85878546629958,15.3282002509274
"Terf1",21.0266585782311,18.5510265646738,18.1510549529011,15.4526350475378,22.1822672991741,9.5801251568296
"Rpl7",399.068457599345,385.09372385978,364.287451729154,385.721544071233,526.623456991503,469.42613268465
