"","kpc_control_1.sorted.bam","kpc_control_2.sorted.bam","kpc_control_3.sorted.bam","kpc_knockdown_1.sorted.bam","kpc_knockdown_2.sorted.bam","kpc_knockdown_3.sorted.bam"
"Gm26206",0,0,0,0,0,0
"Xkr4",0,0,0,0,0,0
"Gm53491",0,0,0,0,0,2
"Gm57489",0,0,0,0,0,0
"Gm27396",0,0,0,0,0,0
"Rp1",0,0,0,0,0,1
"Sox17",0,0,0,0,0,0
"Gm22307",0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0
"Gm39586",0,0,0,0,0,0
"Gm46082",0,0,0,0,0,0
"Gm29874",0,0,0,0,0,0
"Gm7369",1,0,0,0,0,0
"Mrpl15",55,47,99,45,56,41
"Lypla1",12,18,28,18,10,18
"Gm57794",0,0,0,0,0,0
"Tcea1",104,75,157,101,78,63
"Rgs20",0,0,0,0,0,0
"Gm16041",0,0,0,0,0,0
"Atp6v1h",66,42,79,33,37,33
"Oprk1",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Gm46206",0,0,0,1,0,1
"4732440D04Rik",4,1,2,1,0,0
"Rb1cc1",37,29,36,42,33,27
"Alkal1",0,0,0,3,1,0
"St18",0,0,0,1,0,0
"Gm37108",571,426,584,534,289,178
"Pcmtd1",109,52,104,88,58,49
"Gm26983",1,0,0,0,0,0
"Gm23274",0,0,0,0,0,0
"Gm26901",1,0,1,1,1,0
"Gm39589",0,0,0,0,0,0
"Sntg1",0,0,0,0,0,0
"Gm6152",2,1,4,2,3,2
"Gm7445",0,0,0,0,0,0
"Gm7493",21,31,51,18,16,11
"Gm6187",0,0,0,0,0,0
"Gm30719",0,0,0,0,0,0
"Gm24765",0,0,0,0,0,0
"Rrs1",6,35,71,40,31,18
"Adhfe1",1,1,0,0,1,1
"2610203C22Rik",1,0,0,0,0,0
"Vxn",0,0,0,0,0,1
"Mybl1",6,5,4,6,0,3
"Vcpip1",9,7,20,11,15,8
"1700034P13Rik",0,0,0,0,0,1
"Gm39590",0,0,0,1,0,0
"Gm51615",3,2,3,0,1,1
"Sgk3",6,2,9,1,5,2
"Gm6195",0,0,1,0,0,0
"Mcmdc2",0,0,0,0,0,0
"Snhg6",71,50,66,34,29,20
"Snord87",0,0,0,0,0,0
"Tcf24",2,1,1,0,1,0
"Ppp1r42",0,0,0,0,1,0
"Gm24674",0,0,0,0,0,0
"Cops5",45,65,130,75,57,52
"Cspp1",49,30,29,37,12,24
"Arfgef1",40,27,53,36,17,15
"Cpa6",1,1,1,1,0,0
"Gm25253",0,0,0,0,0,0
"Gm15603",0,0,0,0,0,0
"Gm28659",0,1,0,0,1,0
"Prex2",50,53,101,84,42,32
"Gm24173",0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,0
"Gm30898",0,0,0,0,0,0
"Gm30974",0,0,0,0,0,0
"Gm22633",0,0,0,0,0,0
