"","control_1.bam","control_2.bam","control_3.bam","knockdown_1.bam","knockdown_2.bam","knockdown_3.bam"
"Gm26206",0,0,0,0,0,0
"Xkr4",0,0,0,0,0,0
"Gm53491",0,0,0,0,0,0
"Gm57489",0,0,0,0,0,0
"Gm27396",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Sox17",0,0,0,1,1,1
"Gm22307",0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0
"Gm39586",0,0,0,0,0,0
"Gm46082",0,0,0,0,0,0
"Gm29874",0,0,0,0,0,0
"Gm7369",0,0,0,1,0,0
"Mrpl15",480,581,494,462,495,309
"Lypla1",227,226,170,307,228,201
"Gm57794",0,0,0,0,0,0
"Tcea1",333,326,290,366,372,274
"Rgs20",2,1,1,5,5,3
"Gm16041",0,0,0,0,0,0
"Atp6v1h",143,123,131,196,160,109
"Oprk1",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Gm46206",0,0,0,0,1,1
"4732440D04Rik",3,0,3,4,3,0
"Rb1cc1",61,81,94,112,86,62
"Alkal1",3,0,1,2,0,2
"St18",0,0,0,0,0,0
"Gm37108",849,1242,1148,660,761,591
"Pcmtd1",138,122,103,163,132,86
"Gm26983",0,0,0,0,0,0
"Gm23274",0,0,0,0,0,0
"Gm26901",1,4,3,2,2,1
"Gm39589",0,0,0,0,0,0
"Sntg1",0,0,0,0,0,0
"Gm6152",24,33,44,44,22,22
"Gm7445",0,0,0,0,0,0
"Gm7493",380,451,538,567,526,371
"Gm6187",0,0,0,1,0,0
"Gm30719",0,0,0,0,0,0
"Gm24765",0,0,0,0,0,0
"Rrs1",131,221,200,168,169,140
"Adhfe1",5,8,4,12,5,5
"2610203C22Rik",0,0,0,0,0,0
"Vxn",0,2,0,0,0,0
"Mybl1",8,5,7,7,5,6
"Vcpip1",52,36,41,66,35,45
"1700034P13Rik",0,0,1,0,0,0
"Gm39590",0,0,0,0,0,0
"Gm51615",9,5,4,7,4,2
"Sgk3",10,17,10,7,7,7
"Gm6195",1,0,0,0,0,0
"Mcmdc2",0,0,0,0,0,0
"Snhg6",631,690,518,905,551,394
"Snord87",0,0,1,0,1,0
"Tcf24",1,4,6,2,1,3
"Ppp1r42",0,0,0,0,0,0
"Gm24674",0,0,0,0,0,0
"Cops5",710,790,618,698,776,495
"Cspp1",65,85,73,96,60,49
"Arfgef1",224,260,263,352,280,135
"Cpa6",0,0,0,0,0,0
"Gm25253",0,0,0,0,0,0
"Gm15603",0,0,0,0,0,0
"Gm28659",0,2,0,0,0,0
"Prex2",318,266,124,225,350,173
"Gm24173",0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,0
"Gm30898",0,0,0,0,0,0
"Gm30974",0,0,0,0,0,0
"Gm22633",0,0,0,0,0,0
"Gm39591",0,0,0,0,0,0
"Mir6341",0,0,0,0,0,0
"Gm17644",1,0,0,0,0,0
