"","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"Mrpl15",6.98230166157328,7.02831921190925,7.05478466544337,6.75216959291619,6.9209038458011,6.78986350887316
"Lypla1",5.90851528222253,5.6750458090265,5.5264543733198,6.16600244911636,5.80969519734447,6.17306732397758
"Tcea1",6.45738956337821,6.19911277715674,6.29026504432891,6.41793301235395,6.51081054333253,6.61729282661265
"Atp6v1h",5.24910929193713,4.80954703137813,5.15529302547519,5.52448460199178,5.30437021744398,5.2988929537939
"Rb1cc1",4.04608514966555,4.22060005185824,4.68466872926974,4.72922450628379,4.42484759024282,4.4991881064479
"Gm37108",7.80246721881481,8.12133204175991,8.26812685782902,7.26466678283151,7.53921990028631,7.72219677928814
"Pcmtd1",5.19847238256048,4.79798772742944,4.81404552928195,5.26177777727917,5.03083204119613,4.96202858242096
"Gm6152",2.76825054209731,2.98215875046476,3.62207837743433,3.42409263347983,2.55559668513252,3.06314184387745
"Gm7493",6.64681726234047,6.66455353498611,7.17742119720542,7.04634435840903,7.00817552117422,7.05254961907161
"Rrs1",5.12445526133377,5.64309944458514,5.75849176619876,5.3047886961425,5.38231664649422,5.65579274671669
"Vcpip1",3.82357630223872,3.09980682119028,3.52462172270805,3.98571907480931,3.17756894561157,4.04924353062138
"Sgk3",1.65079592266726,2.11138918604878,1.67698912642695,1.09904919180961,1.15244687792339,1.59053768549306
"Snhg6",7.37549578508888,7.27547506231693,7.12296593631268,7.7188056610897,7.07490228448716,7.13899823269534
"Cops5",7.54517523703758,7.470122204009,7.3767550888399,7.34516386953276,7.56730263396764,7.4671516305276
"Cspp1",4.13493611920612,4.28825823415831,4.32821851853264,4.5115083804662,3.92043413975345,4.16842009359679
"Arfgef1",5.88948790648368,5.875325555826,6.15025240159542,6.36201148047359,6.10361806787674,5.60387282948345
"Prex2",6.39129421759116,5.90795372147186,5.07724664551724,5.72146718241292,6.42337656079558,5.95831486500401
"Ncoa2",3.15567214075682,4.09398058115341,4.18671845829105,3.92084369475952,4.30543537949346,3.84970297115924
"Tram1",5.58496304313118,5.61702304144552,6.41788353056151,6.40613095793948,6.00850258332282,6.59086422619548
"Lactb2",4.90200770601805,5.17388446406659,5.22933308693952,5.34655436971749,5.14455422634564,5.19041915071836
