"Gene","Chr","Start","End","Strand","Length","logFC","logCPM","F","PValue","FDR","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"Aldob","NC_000070.7",49535993,49549546,"-",2018,2.41665481809119,3.24011090149378,49.941813007993,2.47451088185298e-05,0.0225922843513177,1.52493092590977,1.7764917174018,1.90063815606268,4.48182990591731,3.69463043161127,3.48661959579657
"Angpt2","NC_000074.7",18740279,18791578,"-",3560,1.82730489599433,3.85448208357427,65.8220861661918,7.00088816308163e-06,0.013317033307366,2.92596702447778,2.71346479097889,2.5554527502089,4.71653861120056,4.47314598267567,4.1967371023182
"Anxa13","NC_000081.7",58204860,58261123,"-",1408,1.33859891781677,6.40296348890081,61.2867280947579,9.72401117733918e-06,0.013317033307366,5.63151326081465,5.71247048099289,5.4130226582958,7.2023400610873,6.81245188082852,6.69379229135356
"Bc1","NC_000073.7",144468207,144468360,"+",154,-0.956071063603026,4.90962503920596,33.4601301339169,0.000138097044950847,0.0439479404001973,5.42678735790173,5.3345291362591,5.1223601810901,4.25499542773589,4.42484759024282,4.40524419928827
"Car8","NC_000070.7",8141491,8239226,"-",6909,1.60901716086599,6.58596171271678,78.01772213814,3.14925717249679e-06,0.0115010871939583,5.47863575728871,5.52886469514026,5.71497421537173,7.49196038069641,6.84340423614192,7.11694103602427
"Cd38","NC_000071.7",44026153,44069714,"+",3009,2.15904806884926,2.6307452146583,45.5215117782145,3.75772597300505e-05,0.0250652693982863,1.38702636238591,1.46182044596844,1.25901527761821,3.32728543452318,2.92321234329378,3.65934707737434
"Cyp2c65","NC_000085.7",39049450,39082392,"+",1941,1.35441596370692,6.31721663491058,32.6175476311315,0.000153407871833727,0.0454253146975759,5.21894091122713,5.21792383008467,5.9332295713029,7.1747816784805,6.46377727687891,6.78986350887316
"Cyp4f14","NC_000083.7",33122331,33136353,"-",4156,1.90760170393109,2.38844167422469,33.9191888867938,0.000132068863812326,0.0438468627856921,1.06399483295059,1.46182044596844,1.41219362814258,3.29351695090213,2.96884255183585,2.63677331011049
"D17H6S56E-5","NC_000083.7",35215654,35219605,"-",3372,-0.771274245458774,8.4907508057435,35.8284367967002,0.000103816962557284,0.0379139547259199,8.72858034646617,8.86901322084768,8.87222940718536,8.18376713697245,7.95514579468291,8.01437972145288
"Ddc","NC_000077.7",11764101,11848144,"-",2449,1.24731542159481,5.01079239678706,55.1551902361016,1.57391772589753e-05,0.0172438426049334,4.4265190758366,4.2031778368529,4.18671845829105,5.6697579556875,5.4320354605146,5.37521041795049
"Dhrs3","NC_000070.7",144618712,144654214,"+",4261,1.52149856249194,3.58416032049347,39.606796338654,6.79246784846796e-05,0.0311312040935839,2.76825054209731,2.31974367503865,2.95515709324725,4.00671171178923,4.35782674245895,4.01784498138544
"Dio3","NC_000078.7",110245664,110247531,"+",1868,3.20955605550737,3.17753049250414,93.3149643123823,1.38476940598265e-06,0.00758576680597294,0.870561070447464,1.33957609166922,1.08761985720896,4.40484744517765,3.74795142969877,3.73852795430435
"Fn1","NC_000067.7",71624632,71692393,"-",8471,-0.913395500195529,6.31294409771812,43.4873146947904,4.52965670378798e-05,0.0254876845982412,6.65810396720432,6.58271068421537,6.83526319740883,5.84317021135756,5.79710174551054,5.71572654242011
"Gjb4","NC_000070.7",127234892,127247874,"-",4086,-0.899691849976688,6.37148365410836,45.0296043802448,3.88928057476148e-05,0.0250652693982863,6.77675748407243,6.80687819750879,6.65894226085679,5.78360164625171,5.94713047534177,5.82860508381148
"Gm13205","NC_000070.7",149031946,149036779,"-",1487,-1.24424949017519,3.55449551892048,36.4095183421285,9.71299235618339e-05,0.0379139547259199,3.95140091689552,4.07494959637726,4.02981562624209,2.90360065398042,2.67052286793163,2.93452949507855
"Gm20082","NC_000082.7",15689589,15690074,"+",486,1.4368088950717,3.4579287624929,36.4962164363447,9.61701602075065e-05,0.0379139547259199,2.97492723588929,2.50176993069097,2.34319264003948,4.10732364978212,3.87322111800584,3.98574784785792
"Hap1","NC_000077.7",100238153,100247808,"-",4402,-2.17824875762902,2.1924418159425,41.0098766928016,5.99942347859588e-05,0.0298771289234075,2.52693445426876,2.89803431912138,3.0041876367345,0.933517335889103,0.984887705496488,0.957808596739451
"Hkdc1","NC_000076.7",62218916,62259490,"-",6027,2.04821445696068,2.19501184480892,33.4849060921354,0.000140395939577118,0.0439479404001973,1.23453295777507,1.05879712119898,0.893082035783609,2.43110014787153,3.05598899153694,3.00026837539876
"Hprt1","NC_000086.8",52076955,52110537,"+",1349,0.790117478347299,7.25182886902463,35.9653104433892,0.000102167173516781,0.0379139547259199,6.6951010673006,6.9495344856621,6.75875164046892,7.59431890244888,7.6571498402353,7.52413192891255
"Igfbp5","NC_000067.7",72897224,72914024,"-",5854,2.27947313015116,5.54374655416717,171.90361677183,6.53306415238516e-08,0.000715762508535318,4.11323109646361,4.07494959637726,3.88025005640863,6.40613095793948,6.36057155966839,6.00710051011473
"Il1rn","NC_000068.8",24226872,24241497,"+",2805,0.92688093479933,8.90452887553979,51.2490558850714,2.19105978024982e-05,0.0218229554112882,8.38235196015836,8.43854308921321,8.28061858887471,9.14687855699457,9.33584038206784,9.39080980966312
"Krt7","NC_000081.7",101310284,101325687,"+",1586,1.23622094796388,5.93877075218516,43.2208130623357,4.65273541406374e-05,0.0254876845982412,5.26887667485399,5.38947801006117,4.89426994831505,6.11374670246668,6.49139934618593,6.6380925658129
"Mpp1","NC_000086.8",74153339,74174622,"-",2525,0.928307379823287,7.84378070529316,42.103218032022,5.21330086576409e-05,0.0271985353739578,7.18576829049455,7.31858614834273,7.41124746470515,8.42898312751873,8.05636959148565,8.19191903692903
"Plac9","NC_000080.7",25888356,25903339,"-",944,-1.31701550097555,5.05641270924115,70.0187201721228,5.24238886017509e-06,0.013317033307366,5.51219426612598,5.62358646194353,5.53482137512699,4.21947024084645,4.17524017094674,4.40524419928827
"Rnase4","NC_000080.7",51328534,51343608,"+",1996,1.02060098042899,6.10254668713299,38.4245729322534,7.7227697372161e-05,0.0338442660963758,5.66918967793449,5.30216381016865,5.54314013164132,6.72709088327858,6.49530253577995,6.30898301109742
"Sec16b","NC_000067.7",157334303,157395995,"+",5960,1.48100036273966,4.02838547748896,48.6665606587125,2.76192995141279e-05,0.0232766958059065,3.23820623619466,2.98215875046476,3.22708099968714,4.69082718691206,4.26942003612973,4.74909015047519
"Serpinb1a","NC_000079.7",33026075,33037189,"-",2428,1.44645653781003,5.31568195421286,45.9665802676885,3.5532098896449e-05,0.0250652693982863,4.47837694655036,4.75080146621246,3.95697017462864,6.08442511354544,5.69897467924995,5.7732695041296
"Serpine1","NC_000071.7",137090358,137101126,"-",3024,-1.17587427541512,4.76410472441423,32.711493950831,0.000151630522271371,0.0454253146975759,5.52868526206332,4.9414833955552,5.1443987274169,3.85291305811892,4.2324825384064,4.11006206315437
"Sidt2","NC_000075.7",45849155,45869299,"-",7374,-1.46843798748156,4.7569147001202,39.562215530325,6.8195408748267e-05,0.0311312040935839,5.60842589337978,5.27740423537403,4.93276899626685,4.16448637276372,3.52171392314169,3.81358824190298
"Sord","NC_000068.8",122065320,122095818,"+",2259,0.941271678680125,5.79067549168408,37.2039418802652,8.85753455287852e-05,0.0373242879082066,5.05784188428917,5.46451463441328,5.19806572709237,6.12338961374032,6.2166859722389,6.21520312726253
"Sptssb","NC_000069.7",69726871,69768697,"-",2192,1.12557774778382,4.97425738419202,43.7287043446433,4.42233614831804e-05,0.0254876845982412,4.29773567686957,4.45945174018806,4.18671845829105,5.60927989130877,5.28646162882721,5.36276791271975
"Sult1d1","NC_000071.7",87702509,87716865,"-",2394,3.82546297783957,2.15239454714021,62.1969320549276,7.34043457817777e-06,0.013317033307366,0.382607551416998,-0.0525134349751261,-0.349655684443282,2.49191803128121,3.39373082213398,3.00026837539876
"Tlnrd1","NC_000073.7",83529703,83533549,"-",3847,-1.60627476401406,2.93355629438245,35.1716082699318,0.000112653850595817,0.0396928474902715,3.65354942025939,3.49294183855429,3.26780645754561,2.23156192092153,1.67712143312687,2.02887820960346
"Tm4sf4","NC_000069.7",57332831,57349098,"+",1400,1.38923545331776,6.23467677898247,56.0439402146782,1.46353010561779e-05,0.0172438426049334,5.63912767001691,5.46451463441328,4.98255326153693,6.87712411266347,6.84033871325227,6.55849726032932
"Tns4","NC_000077.7",98956504,98980132,"-",4755,1.27975118291974,4.04813656643459,45.7792653506383,3.61923047466953e-05,0.0250652693982863,3.35377751737055,3.40423961258943,3.14200996163758,4.67779757387064,4.44112737574097,4.4991881064479
"Trim47","NC_000077.7",115996576,116001061,"-",2195,-1.20468629823791,5.72321942800064,62.456627415247,8.91330205999607e-06,0.013317033307366,6.00596197864957,6.25513697013937,6.30989870977953,4.98333740699404,4.93061986913542,5.10335199306567
"Wnt7a","NC_000072.7",91340963,91388335,"-",3227,-1.4914075355291,3.64486221550404,34.9061499768287,0.000115933837138435,0.0396928474902715,4.46129727046505,4.23781438138332,3.74255542933025,2.60636380966635,2.92321234329378,2.71716870995527
