"Gene","Chr","Start","End","Strand","Length","logFC","logCPM","F","PValue","FDR","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"0610010K14Rik","NC_000077.7",70126030,70128808,"-",981,-0.151736157807931,5.64639124967872,0.492712420215945,0.497764376661473,0.783996643221995,5.62385845014488,5.84194235883033,5.67767917531401,4.99388924980529,5.90079712433239,5.67604858949631
"0610030E20Rik","NC_000072.7",72324017,72330145,"+",4996,0.103043103689675,5.12024385940511,0.321245266926262,0.582601192137585,0.829979380821781,5.16721456708355,4.89883132240842,5.13342153632802,5.44980396348918,4.94210455032923,5.05776524516648
"0610040J01Rik","NC_000071.7",63969833,64056968,"+",2250,0.471090815846113,3.28731296385312,3.36354503522448,0.0947074888741558,0.427882576538248,2.5911518385325,3.02245021917611,3.42010166972651,3.36028155893919,3.52171392314169,3.61806500577262
"0610042G04Rik","NC_000075.7",123722153,123724051,"+",1899,-0.0599886150846489,1.52139693999449,0.0225949548175415,0.88333479750514,0.95903027093082,1.06399483295059,1.7764917174018,1.67698912642695,1.50526006255554,1.67712143312687,1.20086636509394
"1110004F10Rik","NC_000073.7",115680596,115704445,"+",1829,0.0087082729150958,6.66744194785157,0.00429244441487493,0.948975457937105,0.985825184095048,6.66930305724992,6.59278051707501,6.7262430801168,6.73654656066501,6.73863567202072,6.52538744144856
"1110006O24Rik","NC_000071.7",115769108,115769875,"-",768,-0.48949578149229,2.411564473933,2.53007061457621,0.140924285670236,0.491552522700766,2.65263217152345,2.31974367503865,2.85179480174196,2.15840608504692,2.4307167545531,1.75190720512167
"1110025M09Rik","NC_000081.7",81468372,81470622,"-",2251,1.46225339660078,1.35536044628679,12.3136707571993,0.00518785063700124,0.157883587719404,0.64711639856469,0.497566924794288,0.893082035783609,1.82186614219695,1.67712143312687,2.02887820960346
"1110038B12Rik","NC_000083.7",35169211,35171444,"-",590,0.334159239971659,8.33891824109605,3.20943281792144,0.101619038864537,0.436115571065069,8.3743904830983,8.35817644230198,7.63981771298987,8.55813629861668,8.46640511879934,8.46213053527518
"1110038F14Rik","NC_000081.7",76832453,76834934,"+",1661,-0.144916245364263,5.55602703477366,0.948217962229733,0.351758998744622,0.684929920972318,5.51219426612598,5.72473269793427,5.63161397819402,5.62294025656097,5.40739022195999,5.39977805260274
"1110059E24Rik","NC_000085.7",21574677,21630155,"-",1428,0.352194696566608,5.23657940870438,2.08215684537087,0.177772959566067,0.529471673337981,5.32660390938764,5.31032346599054,4.28918600731575,5.33829740373522,5.4320354605146,5.43586245276269
"1110059G10Rik","NC_000075.7",122774154,122780065,"-",3361,0.214151439708851,3.95759213676863,1.1308154464142,0.311106797834487,0.654094430449941,4.06881614062991,3.60331706418307,3.85374245745196,4.10732364978212,3.89702075441013,4.16842009359679
"1300002E11Rik","NC_000082.7",21613097,21627790,"+",3960,0.471456356309425,2.49614419689283,2.61819942951764,0.134850747510532,0.483395553620506,2.23698284894031,2.55767628963025,1.90063815606268,2.81116284931578,2.49450750174586,2.7933195022932
