NM_001001738.4,469,0,201.7,261.8,141.7,0.542,-0.9,0.13,-6.65,3.0e-11,9.2e-07,0,0,243.8,273.3,268.2,143.4,138.9,142.7
NM_001013012.2,128.679,155.746,18.7,37.4,0,0.006,-7.4,1.27,-5.83,5.5e-09,1.7e-04,0,0,33.2,40.4,38.5,0,0,0
NM_001025313.1,476.706,2836.367,252.7,505.3,0,0,-11.1,1.79,-6.21,5.3e-10,1.6e-05,0,0,639.8,792.9,83.2,0,0,0
NM_001038654.1,157,64,207.2,318.7,95.7,0.302,-1.7,0.23,-7.6,3.0e-14,9.1e-10,0,0,371.5,330.2,254.5,96.2,115.8,75.1
NM_001083312.2,538.237,752.349,85.6,49.8,121.5,2.411,1.3,0.24,5.26,1.5e-07,4.4e-03,0,0,51.9,46.6,50.9,93.5,131.2,139.7
NM_001128096.1,0,0,20.8,41.5,0,0.005,-7.5,1.32,-5.73,1.0e-08,3.1e-04,0,0,37.5,27.9,59.1,0,0,0
NM_001161422.1,65.706,62.337,9.8,0,19.6,133.363,7.1,1.41,5.01,5.4e-07,1.6e-02,0,0,0,0,0,22.2,14.1,22.5
NM_001164177.1,32,63.766,18.8,37.7,0,0.006,-7.4,1.33,-5.55,2.8e-08,8.4e-04,0,0,55.5,27.9,29.6,0,0,0
NM_001166409.2,0,171.423,66.7,0,133.4,903.701,9.8,1.23,7.95,1.8e-15,5.5e-11,0,0,0,0,0,94.4,182.6,123.2
NM_001166411.2,311.617,1085.608,84.2,168.4,0,0.001,-9.6,1.24,-7.69,1.5e-14,4.5e-10,0,0,110.4,150.1,244.8,0,0,0
NM_001190705.2,0,0,14.8,0,29.5,2093269.985,21,3.45,6.09,1.1e-09,3.5e-05,0,0,0,0,0,0,0,88.6
NM_001205313.1,600.418,624.604,24.9,49.8,0,0.004,-7.8,1.29,-6.04,1.5e-09,4.6e-05,0,0,58.4,31.1,59.8,0,0,0
NM_001243049.3,358.882,0,14.4,0,28.7,830260.957,19.7,3.45,5.71,1.2e-08,3.5e-04,0,0,0,0,0,0,86.2,0
NM_001252601.1,3185.35,3276.331,622.6,369.6,875.6,2.364,1.2,0.21,5.98,2.2e-09,6.7e-05,0,0,450.1,331.3,327.4,673.7,929.9,1023.1
NM_001271348.2,0,0,14.1,0,28.3,2012747.206,20.9,3.45,6.06,1.3e-09,4.1e-05,0,0,0,0,0,0,84.9,0
NM_001277322.1,0,0,16,0,32,2265787.571,21.1,3.41,6.2,5.8e-10,1.8e-05,0,0,0,0,0,0,0,96.1
NM_001285513.1,0,0,26.2,52.4,0,0.004,-7.9,1.28,-6.16,7.4e-10,2.2e-05,0,0,49,37.3,70.8,0,0,0
NM_001287738.1,1357,1645,634.7,795.5,473.9,0.596,-0.7,0.14,-5.48,4.3e-08,1.3e-03,0,0,921.1,720.5,744.9,501.6,487.5,432.7
NM_001290423.2,122.778,219.265,191.9,289.2,94.5,0.33,-1.6,0.18,-8.83,1.0e-18,3.1e-14,0,0,321.7,257.8,288.2,111.1,91.3,81.1
NM_001301354.1,776.515,798.13,25.9,4.3,47.5,10.719,3.4,0.52,6.62,3.6e-11,1.1e-06,0,0,5.8,3.1,4.1,42.6,57.9,42.1
NM_001331236.1,317,341.797,63.3,31.6,95.1,3.013,1.6,0.24,6.77,1.3e-11,4.0e-07,0,0,28.9,32.1,33.7,90.7,101.6,93.1
NM_001347064.1,3067.196,4054.238,510.7,637.1,384.2,0.605,-0.7,0.14,-5.18,2.2e-07,6.6e-03,0,0,662.1,706,543.3,414.6,355,383.1
NM_001347168.1,97.102,97.975,317.2,526.5,107.9,0.206,-2.3,0.28,-8.24,1.8e-16,5.4e-12,0,0,680.2,532.1,367.3,120.3,122.2,81.1
NM_001347538.2,978,1179.181,197.6,100,295.3,2.941,1.6,0.15,10.08,7.0e-24,2.1e-19,0,0,104.6,100.4,94.9,257.3,310,318.5
NM_001347624.1,305,0,32.1,0,64.1,435.41,8.8,1.22,7.16,8.3e-13,2.5e-08,0,0,0,0,0,63.9,66.9,61.6
NM_001348209.1,1061,1394,187.4,319.8,55,0.171,-2.6,0.31,-8.36,6.5e-17,2.0e-12,0,0,243.1,287.8,428.5,41.6,70.7,52.6
NM_001356531.3,16541.667,19994.459,2493.3,2913.3,2073.3,0.712,-0.5,0.08,-6.13,9.1e-10,2.7e-05,0,0,2766.9,3155.2,2817.8,2133.2,2001.4,2085.2
NM_001357627.1,0,0,27.1,0,54.1,365.399,8.5,1.34,6.36,2.1e-10,6.2e-06,0,0,0,0,0,25.9,64.3,72.1
NM_001359908.1,141.639,240.139,14.4,28.8,0,0.008,-7,1.3,-5.4,6.6e-08,2.0e-03,0,0,26,30,30.3,0,0,0
NM_001361467.1,1021.495,1635.63,305.8,239.7,371.9,1.545,0.6,0.11,5.69,1.3e-08,3.9e-04,0,0,228.7,233.9,256.5,355.4,374.3,386.1
NM_001363255.1,168.801,197.119,14.7,29.4,0,0.008,-7,1.32,-5.35,9.0e-08,2.7e-03,0,0,27.4,23.8,37.1,0,0,0
NM_001374138.1,8271.074,8156.688,1866.2,1456.3,2276.2,1.561,0.6,0.09,6.97,3.2e-12,9.7e-08,0,0,1474.3,1435.8,1458.8,2052.7,2280.5,2495.3
NM_001381868.1,314.549,227.991,23.8,47.6,0,0.005,-7.7,1.3,-5.97,2.3e-09,7.1e-05,0,0,67.8,37.3,37.8,0,0,0
NM_001393399.1,1679,3440,307,226.5,387.5,1.704,0.8,0.14,5.56,2.7e-08,8.2e-04,0,0,220.7,207,251.7,360.9,433.5,368.1
NM_001411740.1,90.281,133.779,22.7,0,45.4,307.018,8.3,1.27,6.53,6.6e-11,2.0e-06,0,0,0,0,0,40.7,39.9,55.6
NM_001411904.1,5647.298,4272.392,970.1,1221.1,719,0.589,-0.8,0.13,-5.8,6.6e-09,2.0e-04,0,0,1428.9,1169.7,1064.7,728.3,715.1,713.6
NM_001412335.1,27,26,68.6,109.3,27.9,0.257,-2,0.33,-6.01,1.8e-09,5.6e-05,0,0,93,91.1,143.7,32.4,25.7,25.5
NM_001417689.1,0,23.144,38.7,0,77.4,524.447,9,1.22,7.39,1.5e-13,4.4e-09,0,0,0,0,0,74,68.2,90.1
NM_001418206.1,0,110.268,11.5,0,23,157.581,7.3,1.43,5.12,3.0e-07,9.1e-03,0,0,0,0,0,34.2,15.4,19.5
NM_001418208.1,314.039,315.59,14.8,0,29.6,2096826.561,21,3.43,6.12,9.3e-10,2.8e-05,0,0,0,0,0,0,88.7,0
NM_001421043.1,266,0,37.1,74.2,0,0.003,-8.4,1.5,-5.57,2.6e-08,7.8e-04,0,0,85.8,12.4,124.5,0,0,0
NM_001421383.1,0,36.033,23,46,0,0.005,-7.7,1.44,-5.34,9.2e-08,2.8e-03,0,0,15.1,71.4,51.6,0,0,0
NM_001424565.1,203.948,341.98,1083.9,770.3,1397.6,1.815,0.9,0.08,10.37,3.4e-25,1.0e-20,0,0,822.3,765,723.5,1436.3,1333.8,1422.7
NM_001424852.1,272.863,217.665,310.9,217.9,403.9,1.846,0.9,0.16,5.62,1.9e-08,5.7e-04,0,0,208.5,189.4,255.8,411.8,362.7,437.2
NM_001426018.1,3828.093,3875.011,1638.3,2262.1,1014.5,0.448,-1.2,0.15,-7.66,1.8e-14,5.5e-10,0,0,2684.7,2040.3,2061.2,924.6,971.1,1147.8
NM_007494.3,653,1052,201.6,318.8,84.4,0.267,-1.9,0.14,-13.23,5.8e-40,1.8e-35,0,0,320.3,317.8,318.4,90.7,87.5,75.1
NM_007514.3,468.802,708.926,194.5,270.8,118.2,0.435,-1.2,0.15,-7.8,6.1e-15,1.8e-10,0,0,261.1,249.5,301.9,115.7,126.1,112.7
NM_007631.3,1369.696,1253.286,56.3,22.2,90.5,4.139,2,0.32,6.48,9.1e-11,2.7e-06,0,0,17.3,30,19.3,75.9,96.5,99.2
NM_007725.2,8411,10301,483.8,374,593.6,1.594,0.7,0.11,6.09,1.1e-09,3.5e-05,0,0,349.8,401.6,370.7,611.7,632.8,536.3
NM_007833.6,468,750,1841.2,2472.2,1210.1,0.489,-1,0.15,-7,2.5e-12,7.5e-08,0,0,2275,2514.4,2627.3,1255.9,978.8,1395.6
NM_008198.3,215,152,211.2,287,135.3,0.473,-1.1,0.2,-5.39,7.0e-08,2.1e-03,0,0,322.4,313.7,224.9,137.9,147.9,120.2
NM_008321.2,4670,7821,229.7,297.9,161.6,0.538,-0.9,0.13,-6.75,1.5e-11,4.6e-07,0,0,316.6,278.5,298.5,148.1,168.5,168.3
NM_008380.2,612.111,909.513,628.9,868.5,389.4,0.45,-1.2,0.11,-10.2,2.0e-24,6.1e-20,0,0,808.6,917.2,879.7,431.3,352.4,384.6
NM_008381.4,210,340,48.2,22,74.4,3.388,1.8,0.34,5.16,2.5e-07,7.6e-03,0,0,13.7,24.8,27.5,69.4,77.2,76.6
NM_008416.3,773,1090,340.3,426.4,254.2,0.595,-0.7,0.12,-6.41,1.5e-10,4.5e-06,0,0,389.5,433.7,456,244.3,259.8,258.4
NM_008491.1,30,39,2212.7,3809.6,615.9,0.162,-2.6,0.17,-15.4,1.8e-53,5.3e-49,0,0,3929.6,3968.8,3530.3,769.1,590.4,488.2
NM_008597.4,31047,44344,6824.2,5289.1,8359.3,1.581,0.7,0.11,6,2.0e-09,6.1e-05,0,0,4882.4,5244.2,5740.8,8276.5,9213.2,7588.1
NM_008630.2,8782,12250,16072.9,23207,8938.7,0.385,-1.4,0.18,-7.85,4.3e-15,1.3e-10,0,0,26558.8,23284.1,19778.1,10625.4,7687.8,8503
NM_009091.2,15966.413,14455.67,3468.7,3078.6,3858.9,1.254,0.3,0.06,5.45,5.1e-08,1.6e-03,0,0,3148.5,2962.7,3124.5,4014.7,3813.7,3748.2
